,cases
1/22/20,557
1/23/20,655
1/24/20,941
1/25/20,1433
1/26/20,2118
1/27/20,2927
1/28/20,5578
1/29/20,6167
1/30/20,8235
1/31/20,9927
2/1/20,12038
2/2/20,16787
2/3/20,19887
2/4/20,23898
2/5/20,27643
2/6/20,30803
2/7/20,34396
2/8/20,37130
2/9/20,40160
2/10/20,42769
2/11/20,44811
2/12/20,45229
2/13/20,60382
2/14/20,66909
2/15/20,69052
2/16/20,71235
2/17/20,73270
2/18/20,75152
2/19/20,75652
2/20/20,76212
2/21/20,76841
2/22/20,78602
2/23/20,78982
2/24/20,79546
2/25/20,80399
2/26/20,81376
2/27/20,82736
2/28/20,84122
2/29/20,86013
3/1/20,88394
3/2/20,90377
3/3/20,92971
3/4/20,95279
3/5/20,98090
3/6/20,102003
3/7/20,106098
3/8/20,110047
3/9/20,114219
3/10/20,119041
3/11/20,126702
3/12/20,132492
3/13/20,146876
3/14/20,157950
3/15/20,169219
3/16/20,184027
3/17/20,199970
3/18/20,219535
3/19/20,246584
3/20/20,277359
3/21/20,309350
3/22/20,344205
3/23/20,387040
3/24/20,428219
3/25/20,479220
3/26/20,542097
3/27/20,607138
3/28/20,674418
3/29/20,733655
3/30/20,798949
3/31/20,875794
4/1/20,958629
4/2/20,1041679
4/3/20,1125250
4/4/20,1183609
4/5/20,1256219
4/6/20,1329371
4/7/20,1399212
4/8/20,1482610
4/9/20,1569630
4/10/20,1655153
4/11/20,1729417
4/12/20,1849112
4/13/20,1919853
4/14/20,2003857
4/15/20,2080973
4/16/20,2176491
4/17/20,2264524
4/18/20,2341739
4/19/20,2418310
4/20/20,2494320
4/21/20,2570078
4/22/20,2651377
4/23/20,2735668
4/24/20,2819764
4/25/20,2902007
4/26/20,2973582
4/27/20,3043786
4/28/20,3119324
4/29/20,3196455
4/30/20,3279935
5/1/20,3368292
5/2/20,3447490
5/3/20,3523887
5/4/20,3601559
5/5/20,3682058
5/6/20,3772095
5/7/20,3860819
5/8/20,3951089
5/9/20,4036352
5/10/20,4111266
5/11/20,4187924
5/12/20,4272394
5/13/20,4357399
5/14/20,4453629
5/15/20,4549347
5/16/20,4643762
5/17/20,4721809
5/18/20,4810975
5/19/20,4907722
5/20/20,5009628
5/21/20,5116275
5/22/20,5222689
5/23/20,5327481
5/24/20,5421702
5/25/20,5508408
5/26/20,5602388
5/27/20,5705152
5/28/20,5824433
5/29/20,5945341
5/30/20,6081855
5/31/20,6188259
6/1/20,6284232
6/2/20,6406196
6/3/20,6520447
6/4/20,6651410
6/5/20,6782636
6/6/20,6916355
6/7/20,7028730
6/8/20,7131206
6/9/20,7256265
6/10/20,7391371
6/11/20,7529424
6/12/20,7658151
6/13/20,7793444
6/14/20,7925721
6/15/20,8045387
6/16/20,8187468
6/17/20,8331222
6/18/20,8472296
6/19/20,8652193
6/20/20,8809651
6/21/20,8937355
6/22/20,9076708
6/23/20,9243514
6/24/20,9416110
6/25/20,9594500
6/26/20,9786102
6/27/20,9964218
6/28/20,10128093
6/29/20,10283456
6/30/20,10457988
7/1/20,10675596
7/2/20,10885548
7/3/20,11086923
7/4/20,11280744
7/5/20,11464726
7/6/20,11628722
7/7/20,11840091
7/8/20,12054250
7/9/20,12281090
7/10/20,12513766
7/11/20,12730232
7/12/20,12922492
7/13/20,13113970
7/14/20,13336173
7/15/20,13567611
7/16/20,13818969
7/17/20,14061686
7/18/20,14297865
7/19/20,14511279
7/20/20,14718412
7/21/20,14952034
7/22/20,15231917
7/23/20,15514776
7/24/20,15795846
7/25/20,16049938
7/26/20,16263015
7/27/20,16489477
7/28/20,16742217
7/29/20,17033965
7/30/20,17314074
7/31/20,17604811
8/1/20,17853166
8/2/20,18084181
8/3/20,18290628
8/4/20,18548543
8/5/20,18825127
8/6/20,19110321
8/7/20,19392566
8/8/20,19651099
8/9/20,19875797
8/10/20,20101808
8/11/20,20359380
8/12/20,20636018
8/13/20,20925236
8/14/20,21228980
8/15/20,21476718
8/16/20,21691208
8/17/20,21898916
8/18/20,22157171
8/19/20,22436722
8/20/20,22709277
8/21/20,22970496
8/22/20,23234766
8/23/20,23440930
8/24/20,23666158
8/25/20,23910153
8/26/20,24193952
8/27/20,24477860
8/28/20,24761471
8/29/20,25025287
8/30/20,25246275
8/31/20,25509140
9/1/20,25774047
9/2/20,26057555
9/3/20,26339015
9/4/20,26653020
9/5/20,26923081
9/6/20,27153595
9/7/20,27371523
9/8/20,27613555
9/9/20,27898369
9/10/20,28198228
9/11/20,28519589
9/12/20,28806206
9/13/20,29048946
9/14/20,29312693
9/15/20,29598140
9/16/20,29902687
9/17/20,30217566
9/18/20,30543485
9/19/20,30835647
9/20/20,31087793
9/21/20,31363785
9/22/20,31648303
9/23/20,31924402
9/24/20,32277431
9/25/20,32608314
9/26/20,32896777
9/27/20,33148188
9/28/20,33403027
9/29/20,33685585
9/30/20,34011804
10/1/20,34330104
10/2/20,34627958
10/3/20,34960044
10/4/20,35221464
10/5/20,35522414
10/6/20,35848966
10/7/20,36199957
10/8/20,36561290
10/9/20,36922190
10/10/20,37279326
10/11/20,37566278
10/12/20,37857976
10/13/20,38177218
10/14/20,38559565
10/15/20,38966541
10/16/20,39378313
10/17/20,39750993
10/18/20,40067583
10/19/20,40454758
10/20/20,40843745
10/21/20,41288653
10/22/20,41761382
10/23/20,42258164
10/24/20,42714986
10/25/20,43075703
10/26/20,43562021
10/27/20,44032249
10/28/20,44544143
10/29/20,45094525
10/30/20,45665604
10/31/20,46142428
11/1/20,46604864
11/2/20,47167894
11/3/20,47721721
11/4/20,48233206
11/5/20,48829777
11/6/20,49474659
11/7/20,50071611
11/8/20,50555683
11/9/20,51057076
11/10/20,51616461
11/11/20,52265191
11/12/20,52914645
11/13/20,53566727
11/14/20,54161862
11/15/20,54635935
11/16/20,55170071
11/17/20,55781327
11/18/20,56408504
11/19/20,57062051
11/20/20,57730831
11/21/20,58318557
11/22/20,58806701
11/23/20,59331660
11/24/20,59921951
11/25/20,60558291
11/26/20,61140970
11/27/20,61827863
11/28/20,62414022
11/29/20,62902699
11/30/20,63411091
12/1/20,64023308
12/2/20,64675043
12/3/20,65369179
12/4/20,66052314
12/5/20,66694746
12/6/20,67233741
12/7/20,67753311
12/8/20,68396799
12/9/20,69066819
12/10/20,70564945
12/11/20,71269554
12/12/20,71904616
12/13/20,72435722
12/14/20,72960602
12/15/20,73596794
12/16/20,74330464
12/17/20,75070221
12/18/20,75790546
12/19/20,76401995
12/20/20,76935664
12/21/20,77484615
12/22/20,78134972
12/23/20,78830100
12/24/20,79496691
12/25/20,79962475
12/26/20,80475205
12/27/20,80913868
12/28/20,81409709
12/29/20,82074293
12/30/20,82835540
12/31/20,83560482
1/1/21,84093788
1/2/21,84720299
1/3/21,85253202
1/4/21,85807043
1/5/21,86547096
1/6/21,87330661
1/7/21,88211545
1/8/21,89014809
1/9/21,89776075
1/10/21,90365376
1/11/21,90984976
1/12/21,91690531
1/13/21,92438858
1/14/21,93194145
1/15/21,93961381
1/16/21,94600703
1/17/21,95130064
1/18/21,95645312
1/19/21,96253248
1/20/21,96946210
1/21/21,97602571
1/22/21,98261639
1/23/21,98829909
1/24/21,99275699
1/25/21,99772747
1/26/21,100329071
1/27/21,100927448
1/28/21,101541893
1/29/21,102132381
1/30/21,102647858
1/31/21,103029652
2/1/21,103476199
2/2/21,103934126
2/3/21,104456157
2/4/21,104923095
2/5/21,105458548
2/6/21,105830862
2/7/21,106229038
2/8/21,106545054
2/9/21,106972720
2/10/21,107408534
2/11/21,107850003
2/12/21,108278724
2/13/21,108652122
2/14/21,108946086
2/15/21,109229345
2/16/21,109580144
2/17/21,109975720
2/18/21,110379223
2/19/21,110791727
2/20/21,111162265
2/21/21,111476792
2/22/21,111765161
2/23/21,112154029
2/24/21,112598969
2/25/21,113046460
2/26/21,113489486
2/27/21,113878785
2/28/21,114182356
3/1/21,114488090
3/2/21,114798408
3/3/21,115239558
3/4/21,115692613
3/5/21,116139645
3/6/21,116550222
3/7/21,116918602
3/8/21,117217208
3/9/21,117631885
3/10/21,118098952
3/11/21,118575835
3/12/21,119065151
3/13/21,119519364
3/14/21,119879810
3/15/21,120228591
3/16/21,120701640
3/17/21,121241068
3/18/21,121794627
3/19/21,122356343
3/20/21,122855285
3/21/21,123278672
3/22/21,123695333
3/23/21,124209643
3/24/21,124843218
3/25/21,125494652
3/26/21,126136052
3/27/21,126720792
3/28/21,127190873
3/29/21,127649131
3/30/21,128217581
3/31/21,128900516
4/1/21,129612373
4/2/21,130246167
4/3/21,130775801
4/4/21,131328758
4/5/21,131818062
4/6/21,132422295
4/7/21,133106608
4/8/21,133946462
4/9/21,134694522
4/10/21,135359190
4/11/21,136050057
4/12/21,136666545
4/13/21,137446191
4/14/21,138263254
4/15/21,139080030
4/16/21,139934945
4/17/21,140723160
4/18/21,141408751
4/19/21,142102363
4/20/21,142956456
4/21/21,143846433
4/22/21,144746200
4/23/21,145649953
4/24/21,146471022
4/25/21,147193478
4/26/21,147876137
4/27/21,148720592
4/28/21,149626600
4/29/21,150524258
4/30/21,151403270
5/1/21,152200029
5/2/21,152874414
5/3/21,153555936
5/4/21,154363355
5/5/21,155204557
5/6/21,156074567
5/7/21,156906973
5/8/21,157692702
5/9/21,158334279
5/10/21,158956114
5/11/21,159694580
5/12/21,160454640
5/13/21,161179904
5/14/21,161897925
5/15/21,162525945
5/16/21,163074549
5/17/21,163614578
5/18/21,164237099
5/19/21,164908717
5/20/21,165188667
5/21/21,165814687
5/22/21,166392887
5/23/21,166869422
5/24/21,167323965
5/25/21,167856146
5/26/21,168424727
5/27/21,168979456
5/28/21,169479741
5/29/21,169961055
5/30/21,170352480
5/31/21,170731385
6/1/21,171195110
6/2/21,171680812
6/3/21,172169929
6/4/21,172589646
6/5/21,172988007
6/6/21,173310648
6/7/21,173631266
6/8/21,173904841
